timestamp,temperature_C,rainfall_mm,soil_moisture,pitch_deg,roll_deg,tilt_rate_deg_per_hr,crack_mm,crack_growth_mm_per_hr,accel_x_g,accel_y_g,accel_z_g,vibration_rms_g,vibration_peak_g,label
2022-01-01 00:00:00,15.497,0.0,0.2404,2.0,1.0,0.0,0.49986,0.0,-0.01022,0.01297,0.99266,0.01807,0.0,0
2022-01-01 01:00:00,14.868,0.0,0.22,2.0,1.0,9e-06,0.49916,-0.0007,-0.01691,-0.01338,0.96304,0.04279,0.02472,0
2022-01-01 02:00:00,15.66,0.0,0.2286,2.0,1.0,-2.1e-05,0.49933,0.00017,0.0219,0.03621,0.99062,0.04334,0.00055,0
2022-01-01 03:00:00,16.542,0.0,0.2559,2.0,1.0,3.3e-05,0.50007,0.00075,-0.03961,0.00683,1.03865,0.05577,0.01243,0
2022-01-01 04:00:00,14.791,0.0,0.249,2.0,1.0,-1.8e-05,0.49982,-0.00025,-0.05428,0.0161,0.99188,0.05719,0.00143,0
2022-01-01 05:00:00,14.797,0.0,0.2505,2.0,1.0,-5e-06,0.50023,0.00041,-0.00928,-0.0182,1.03499,0.04052,0.01667,0
2022-01-01 06:00:00,16.617,0.0,0.2551,2.0,0.9999,-5e-06,0.50057,0.00033,0.00763,0.0037,0.98324,0.01878,0.02174,0
2022-01-01 07:00:00,15.811,0.0,0.2452,2.0,0.9999,-1.6e-05,0.50047,-0.0001,0.03344,-0.0257,1.01367,0.04434,0.02556,0
2022-01-01 08:00:00,14.581,0.0,0.2595,2.0,0.9999,3.6e-05,0.50094,0.00047,0.01479,0.00729,0.9749,0.03002,0.01432,0
2022-01-01 09:00:00,15.599,0.0,0.2614,2.0,0.9999,-1.9e-05,0.50124,0.0003,0.02264,-0.01215,1.00244,0.02581,0.00422,0
2022-01-01 10:00:00,14.599,0.0,0.2328,2.0,0.9999,3.5e-05,0.50048,-0.00076,0.01365,0.02095,1.00568,0.02564,0.00017,0
2022-01-01 11:00:00,14.603,0.0,0.2718,2.0,0.9999,-6e-06,0.49988,-0.0006,-0.00018,-0.01047,0.98427,0.0189,0.00674,0
2022-01-01 12:00:00,15.317,0.0,0.2919,2.0,0.9999,-6e-06,0.49979,-8e-05,0.00515,-0.01324,0.99944,0.01421,0.00469,0
2022-01-01 13:00:00,13.168,0.0,0.298,2.0,0.9999,-1.3e-05,0.50031,0.00052,0.00049,-0.00834,0.97296,0.0283,0.01408,0
2022-01-01 14:00:00,13.363,0.0,0.2679,2.0,0.9999,1.4e-05,0.50018,-0.00013,0.03392,-0.04076,0.9587,0.06721,0.03892,0
2022-01-01 15:00:00,14.532,0.0,0.294,2.0001,0.9999,4e-05,0.50119,0.001,-0.00288,0.0328,0.97036,0.0443,0.02291,0
2022-01-01 16:00:00,14.088,0.0,0.2718,2.0,0.9999,-1.1e-05,0.50166,0.00048,-0.05624,-0.01528,0.99756,0.05833,0.01403,0
2022-01-01 17:00:00,15.421,0.0,0.2665,2.0,0.9999,-6e-06,0.5014,-0.00026,-0.03029,-0.00843,0.97483,0.04027,0.01806,0
2022-01-01 18:00:00,14.205,6.946,0.3223,2.0001,0.9999,2.9e-05,0.50054,-0.00086,0.01148,0.00243,0.99247,0.01395,0.02633,0
2022-01-01 19:00:00,13.707,0.0,0.2758,2.0,0.9999,-2.2e-05,0.5005,-4e-05,-0.0261,0.03586,1.00271,0.04444,0.03049,0
2022-01-01 20:00:00,16.591,0.0,0.2546,2.0,0.9999,-1.6e-05,0.50061,0.00011,-1e-05,-0.027,0.99995,0.027,0.01743,0
2022-01-01 21:00:00,14.906,0.0,0.2753,2.0001,0.9999,2.7e-05,0.50078,0.00017,0.00773,0.02179,1.00287,0.0233,0.00371,0
