dust_value,accel_x,accel_y,accel_z,road_label,dust_label
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.2024,7248,2364,-14680,Pothole Detected,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
0.0,7248,2364,-14680,Smooth Road,Normal Air Quality
